first_name,last_name,current_points,price
Oliver,Norwood,98,50
Wes,Foderingham,0,45
George,Baldock,142,55
Jack,Robinson,14,45
John,Egan,133,50
Jack,O'Connell,111,50
John,Lundstram,144,55
Ben,Osborn,19,50
Oliver,McBurnie,86,60
Callum,Robinson,33,55
Lys,Mousset,84,60
Sander,Berge,40,50
Luke,Freeman,13,50
Aaron,Ramsdale,126,50
Shane,Long,62,55
Ryan,Bertrand,75,50
Alex,McCarthy,104,45
Oriol,Romeu Vidal,51,45
Nathan,Redmond,107,65
Danny,Ings,198,85
Jack,Stephens,85,50
Stuart,Armstrong,98,55
Jannik,Vestergaard,51,45
James,Ward-Prowse,117,60
Angus,Gunn,29,45
Sofiane,Boufal,34,55
Harrison,Reed,0,45
Josh,Sims,0,45
Kyle,Walker-Peters,32,45
Jan,Bednarek,84,45
Che,Adams,78,60
Yan,Valery,18,50
William,Smallbone,24,45
Jake,Vokins,2,40
Michael,Obafemi,45,50
Moussa,Djenepo,40,55
Mohammed,Salisu,0,45
Hugo,Lloris,98,55
Danny,Rose,47,50
Moussa,Sissoko,69,50
Toby,Alderweireld,97,55
Erik,Lamela,65,60
Harry,Kane,158,105
Serge,Aurier,124,55
Heung-Min,Son,169,90
Eric,Dier,36,50
Lucas,Rodrigues Moura da Silva,100,70
Paulo,Gazzaniga,58,45
Bamidele,Alli,117,80
Ben,Davies,41,50
Pierre-Emile,Højbjerg,75,50
Harry,Winks,52,55
Davinson,Sánchez,64,55
Ryan,Sessegnon,9,50
Steven,Bergwijn,43,75
Gedson,Carvalho Fernandes,7,50
Japhet,Tanganga,17,50
Giovani,Lo Celso,54,70
Oliver,Skipp,7,45
Tanguy,Ndombele,45,60
Juan,Foyth,3,45
Joe,Hart,0,45
Kieran,Gibbs,0,45
Hal,Robson-Kanu,0,55
Jake,Livermore,0,50
Kamil,Grosicki,0,55
Matt,Phillips,0,55
Kyle,Bartley,0,45
Romaine,Sawyers,0,50
Ahmed El-Sayed,Hegazy,0,45
Charlie,Austin,0,55
Kenneth,Zohore,0,50
Sam,Johnstone,0,45
Conor,Townsend,0,45
Oluwasemilogo Adesewo Ibidapo,Ajayi,0,50
Jonathan,Leko,0,45
Kyle,Edwards,0,50
Darnell,Furlong,0,45
Sam,Field,0,50
Oliver,Burke,0,45
Dara,O'Shea,0,45
Rekeem,Harper,0,45
Matheus,Pereira,0,60
Mark,Noble,105,50
Robert,Snodgrass,87,60
David,Martin,20,40
Darren,Randolph,3,45
Lukasz,Fabianski,83,50
Angelo,Ogbonna,81,50
Roberto,Jimenez Gago,18,45
Jack,Wilshere,8,50
Aaron,Cresswell,79,50
Andriy,Yarmolenko,70,60
Michail,Antonio,111,65
Ryan,Fredericks,74,45
Manuel,Lanzini,50,65
Felipe Anderson,Pereira Gomes,66,65
Sébastien,Haller,102,65
Arthur,Masuaku,26,45
Fabián,Balbuena,40,45
Jordan,Hugill,0,55
Jarrod,Bowen,44,65
Grady,Diangana,0,55
Albian,Ajeti,9,55
Declan,Rice,105,50
Tomas,Soucek,41,50
Pablo,Fornals,93,65
Issa,Diop,76,45
Ben,Johnson,6,40
John,Ruddy,0,45
João Filipe Iria,Santos Moutinho,113,55
Rui Pedro,dos Santos Patrício,153,55
Ryan,Bennett,32,45
Matt,Doherty,167,60
Willy,Boly,97,55
Conor,Coady,118,50
Raúl,Jiménez,194,85
Romain,Saïss,103,50
Jonathan,Castro Otto,123,55
Léo,Bonatini,0,50
Leander,Dendoncker,100,50
Adama,Traoré,130,65
Rúben Diogo,da Silva Neves,97,55
Oskar,Buur,0,40
Diogo,Jota,105,65
Daniel,Castelo Podence,25,55
Max,Kilman,5,40
Rúben Gonçalo,Silva Nascimento Vinagre,32,45
Matija,Sarkic,0,45
Morgan,Gibbs-White,11,50
Pedro,Lomba Neto,57,55
Bruno André,Cavaco Jordao,1,45
Leonardo,Campana,0,50
